id,stroke,kanji,kunyomi,knyomi,meaning
93,12,朝,あさ,チョウ,"朝 = pagi, 朝食 = sarapan pagi"
94,12,飲,の,イン,"飲む = minum, 飲料 = minuman"
95,12,買,か,バイ,"買う = membeli, 買収 = pembelian"
96,12,道,みち,ドウ / トウ,"道路 = jalan, jalanan, 道路 = jalan, jalanan, 神道 = (kepercayaan) Shinto"
97,12,着,き / つ,チャク,"着る = mengenakan (pakaian), 着 = tiba, sampai, 到着 = tiba, sampai"
98,12,間,あいだ / ま,カン / ケン / ゲン,"間 = antara, selama, 客間 = ruang tamu, 時間 = waktu, 世間 = dunia, duniawi, 人間 = manusia"
99,13,話,はな / はなし,ワ,"話す = berbicara, 話 = pembicaraan"
100,13,新,あたら / あら / にい,シン,"新しい = baru, 新た = baru, 新妻 = istri yang baru dinikahi, 新鮮 = segar, baru"
101,13,電,,デン,電気 = listrik
102,14,駅,えき,,駅 = stasiun kereta
103,14,聞,き,ブン / モン,"聞く = mendengar, bertanya, 新聞 = surat kabar, koran, 聴聞する = mendengarkan"
104,14,読,よ,ドク / トウ,"読む = membaca, 読書 = baca buku, 読点 = (tanda baca) koma"
105,14,語,かた,ゴ,"語る = berkata, bercerita, 日本語 = bahasa Jepang"
106,14,銀,,ギン,銀 = perak
107,16,館,,カン,図書館 = perpustakaan
